LineId,Date,Time,Level,Content,EventId,EventTemplate,ParameterList
91,03/22,08:52:50,INFO   ,.......init_policyAPI: open_socket:  Entering,9b8a94d1,.......init_policyAPI: <*> Entering,['open_socket:']
92,03/22,08:52:50,INFO   ,.......init_policyAPI: open_socket:  Exiting,e13a9f48,.......init_policyAPI: <*> Exiting,['open_socket:']
93,03/22,08:52:50,INFO   ,".......init_policyAPI: APIInitialize:  ApiHandle = 98BDFB0,  connfd = 22",808e5166,".......init_policyAPI: APIInitialize: ApiHandle = 98BDFB0, connfd = 22",[]
94,03/22,08:52:50,INFO   ,.......init_policyAPI: APIInitialize:  Exiting,e13a9f48,.......init_policyAPI: <*> Exiting,['APIInitialize:']
95,03/22,08:52:50,INFO   ,.......init_policyAPI: RegisterWithPolicyAPI:  Entering,9b8a94d1,.......init_policyAPI: <*> Entering,['RegisterWithPolicyAPI:']
96,03/22,08:52:50,INFO   ,.......init_policyAPI: RegisterWithPolicyAPI:  Writing to socket = 22,53fe1362,.......init_policyAPI: RegisterWithPolicyAPI: Writing to socket = 22,[]
97,03/22,08:52:50,INFO   ,.......init_policyAPI: ReadBuffer:  Entering,9b8a94d1,.......init_policyAPI: <*> Entering,['ReadBuffer:']
98,03/22,08:52:51,INFO   ,.......init_policyAPI: ReadBuffer:  Exiting,e13a9f48,.......init_policyAPI: <*> Exiting,['ReadBuffer:']
99,03/22,08:52:51,INFO   ,.......init_policyAPI: RegisterWithPolicyAPI:  Exiting,e13a9f48,.......init_policyAPI: <*> Exiting,['RegisterWithPolicyAPI:']
100,03/22,08:52:51,INFO   ,.......init_policyAPI: Policy API initialized,87107d32,.......init_policyAPI: Policy API initialized,[]
101,03/22,08:52:51,INFO   ,......rpapi_getPolicyData: RSVPFindActionName:  Entering,aca7224d,......rpapi_getPolicyData: <*> Entering,['RSVPFindActionName:']
102,03/22,08:52:51,INFO   ,......rpapi_getPolicyData: ReadBuffer:  Entering,aca7224d,......rpapi_getPolicyData: <*> Entering,['ReadBuffer:']
103,03/22,08:52:51,INFO   ,......rpapi_getPolicyData: ReadBuffer:  Exiting,18e960de,......rpapi_getPolicyData: <*> Exiting,['ReadBuffer:']
104,03/22,08:52:51,INFO   ,......rpapi_getPolicyData: RSVPFindActionName:  Result = 0,969b339e,......rpapi_getPolicyData: <*> Result = 0,['RSVPFindActionName:']
105,03/22,08:52:51,INFO   ,......rpapi_getPolicyData: RSVPFindActionName:  Exiting,18e960de,......rpapi_getPolicyData: <*> Exiting,['RSVPFindActionName:']
106,03/22,08:52:51,INFO   ,"......rpapi_getPolicyData: found action name CLCat2 for flow[sess=9.67.116.99:1047:6,source=9.67.116.98:8000]",5e721aa0,"......rpapi_getPolicyData: found action name CLCat2 for flow[sess=<*>6,source=<*>]","['9.67.116.99:1047:', '9.67.116.98:8000']"
107,03/22,08:52:51,INFO   ,......rpapi_getPolicyData: RSVPFindServiceDetailsOnActName:  Entering,aca7224d,......rpapi_getPolicyData: <*> Entering,['RSVPFindServiceDetailsOnActName:']
108,03/22,08:52:51,INFO   ,......rpapi_getPolicyData: ReadBuffer:  Entering,aca7224d,......rpapi_getPolicyData: <*> Entering,['ReadBuffer:']
109,03/22,08:52:51,INFO   ,......rpapi_getPolicyData: ReadBuffer:  Exiting,18e960de,......rpapi_getPolicyData: <*> Exiting,['ReadBuffer:']
110,03/22,08:52:51,INFO   ,......rpapi_getPolicyData: RSVPFindServiceDetailsOnActName:  Result = 0,969b339e,......rpapi_getPolicyData: <*> Result = 0,['RSVPFindServiceDetailsOnActName:']
111,03/22,08:52:51,INFO   ,......rpapi_getPolicyData: RSVPFindServiceDetailsOnActName:  Exiting,18e960de,......rpapi_getPolicyData: <*> Exiting,['RSVPFindServiceDetailsOnActName:']
112,03/22,08:52:51,INFO   ,.....api_reader: appl chose service type 1,8ea90722,.....api_reader: appl chose service type 1,[]
113,03/22,08:52:51,INFO   ,......rpapi_getSpecData: RSVPGetTSpec:  Entering,0d835251,......rpapi_getSpecData: RSVPGetTSpec: <*>,['Entering']
114,03/22,08:52:51,INFO   ,......rpapi_getSpecData: RSVPGetTSpec:  Result = 0,0d2cab93,......rpapi_getSpecData: RSVPGetTSpec: Result = 0,[]
115,03/22,08:52:51,INFO   ,......rpapi_getSpecData: RSVPGetTSpec:  Exiting,0d835251,......rpapi_getSpecData: RSVPGetTSpec: <*>,['Exiting']
116,03/22,08:52:51,TRACE  ,".....api_reader: new service=1, old service=0",a9da0e4d,".....api_reader: new service=1, old service=0",[]
117,03/22,08:52:51,INFO   ,".......rsvp_flow_stateMachine: state SESSIONED, event PATHDELTA",bbdf815a,.......rsvp_flow_stateMachine: state <*> event <*>,"['SESSIONED,', 'PATHDELTA']"
